Date: 2018/03/22, Time: 14:47:41
________________________________
Time,GR31309,GR31310,X109928
1.5217553460570359e+09,1.10883415e-01,3.68440426e-01,7.60608184e-02
1.5217553641323640e+09,1.11006769e-01,3.70394418e-01,7.53811556e-02
1.5217553822077241e+09,1.10697687e-01,3.71481293e-01,7.59728090e-02
1.5217554002820251e+09,1.10970524e-01,3.72849803e-01,7.58459341e-02
1.5217554183533800e+09,1.10911113e-01,3.75134349e-01,7.54732891e-02
1.5217554364266829e+09,1.10735839e-01,3.75695959e-01,7.54796092e-02
1.5217574161928000e+09,8.33570583e-02,3.61534781e-01,5.50077000e-02
1.5217574350861449e+09,8.33570583e-02,3.62570738e-01,5.50077000e-02
1.5217574539754889e+09,8.33570583e-02,3.63741404e-01,5.50077000e-02
1.5217574728888340e+09,8.33570583e-02,3.64722930e-01,5.50077000e-02
1.5217574917711790e+09,8.33570583e-02,3.65657618e-01,5.50077000e-02
1.5217575106575260e+09,8.33570583e-02,3.66375424e-01,5.50077000e-02
1.5217575295498691e+09,8.33570583e-02,3.67153833e-01,5.50077000e-02
1.5217575484372120e+09,8.33570583e-02,3.67935123e-01,5.50077000e-02
1.5217575673245571e+09,8.33570583e-02,3.68648266e-01,5.50077000e-02
1.5217575862159030e+09,8.33570583e-02,3.69778809e-01,5.50077000e-02
1.5217576051292470e+09,8.33570583e-02,3.70925142e-01,5.50077000e-02
1.5217576240185919e+09,8.33570583e-02,3.71873239e-01,5.50077000e-02
1.5217576429319370e+09,8.33570583e-02,3.72806411e-01,5.50077000e-02
1.5217576618142800e+09,8.33570583e-02,3.73963902e-01,5.50077000e-02
1.5217576807036240e+09,8.33570583e-02,3.74571322e-01,5.50077000e-02
1.5217576995939701e+09,8.33570583e-02,3.75054543e-01,5.50077000e-02
1.5217577184803140e+09,8.33570583e-02,3.75705217e-01,5.50077000e-02
1.5217577373666689e+09,8.33570583e-02,3.76465685e-01,5.50077000e-02
1.5217577562500050e+09,8.33570583e-02,3.77160649e-01,5.50077000e-02
1.5217577751473491e+09,8.33570583e-02,3.77679454e-01,5.50077000e-02
1.5217577940606930e+09,8.33570583e-02,3.78486389e-01,5.50077000e-02
1.5217578129500411e+09,8.33570583e-02,3.79228407e-01,5.50077000e-02
1.5217578318633831e+09,8.33570583e-02,3.79986940e-01,5.50077000e-02
1.5217578507457299e+09,8.33570583e-02,3.80834848e-01,5.50077000e-02
1.5217578696360719e+09,8.33570583e-02,3.81326913e-01,5.50077000e-02
1.5217578885244169e+09,8.33570583e-02,3.81926111e-01,5.50077000e-02
1.5217579074117610e+09,8.33570583e-02,3.82345177e-01,5.50077000e-02
1.5217579262961049e+09,8.33570583e-02,3.82556955e-01,5.50077000e-02
1.5217579451874499e+09,8.33570583e-02,3.83009705e-01,5.50077000e-02
1.5217579640787950e+09,8.33570583e-02,3.83253820e-01,5.50077000e-02
1.5217579829911411e+09,8.33570583e-02,3.83742983e-01,5.50077000e-02
1.5217580018814850e+09,8.33570583e-02,3.84100035e-01,5.50077000e-02
1.5217580207889719e+09,8.33570583e-02,3.84274951e-01,5.50077000e-02
1.5217580396791890e+09,8.33570583e-02,3.84402329e-01,5.50077000e-02
1.5217580585665171e+09,8.33570583e-02,3.84521760e-01,5.50077000e-02
1.5217580774540679e+09,8.33570583e-02,3.84897607e-01,5.50077000e-02
1.5217580963432209e+09,8.33570583e-02,3.85105896e-01,5.50077000e-02
1.5217581152335670e+09,8.33570583e-02,3.85524339e-01,5.50077000e-02
1.5217581341179321e+09,8.33570583e-02,3.85642251e-01,5.50077000e-02
1.5217581530083330e+09,8.33570583e-02,3.85693727e-01,5.50077000e-02
1.5217581718996000e+09,8.33570583e-02,3.85813194e-01,5.50077000e-02
1.5217581908066540e+09,8.33570583e-02,3.86081665e-01,5.50077000e-02
1.5217582096954350e+09,8.33570583e-02,3.86295102e-01,5.50077000e-02
1.5217582286136711e+09,8.33570583e-02,3.86518454e-01,5.50077000e-02
1.5217582474969680e+09,8.33570583e-02,3.86819780e-01,5.50077000e-02
1.5217582663877900e+09,8.33570583e-02,3.87074398e-01,5.50077000e-02
1.5217582852686579e+09,8.33570583e-02,3.87458293e-01,5.50077000e-02
1.5217583041660521e+09,8.33570583e-02,3.88004219e-01,5.50077000e-02
1.5217583230769100e+09,8.33570583e-02,3.88455552e-01,5.50077000e-02
1.5217583419694059e+09,8.33570583e-02,3.89213843e-01,5.50077000e-02
