 13-04-18,00:00:15,Ch6,T. OVER 13-04-18,00:00:15,Ch8,T. OVER
 13-04-18,00:01:16,Ch6,T. OVER 13-04-18,00:01:16,Ch8,T. OVER
 13-04-18,00:02:16,Ch6,T. OVER 13-04-18,00:02:16,Ch8,T. OVER
 13-04-18,00:03:16,Ch6,T. OVER 13-04-18,00:03:16,Ch8,T. OVER
 13-04-18,00:04:16,Ch6,T. OVER 13-04-18,00:04:16,Ch8,T. OVER
 13-04-18,00:05:16,Ch6,T. OVER 13-04-18,00:05:16,Ch8,T. OVER
 13-04-18,00:06:16,Ch6,T. OVER 13-04-18,00:06:16,Ch8,T. OVER
 13-04-18,00:07:16,Ch6,T. OVER 13-04-18,00:07:16,Ch8,T. OVER
 13-04-18,00:08:16,Ch6,T. OVER 13-04-18,00:08:16,Ch8,T. OVER
 13-04-18,00:09:17,Ch6,T. OVER 13-04-18,00:09:17,Ch8,T. OVER
 13-04-18,00:10:17,Ch6,T. OVER 13-04-18,00:10:17,Ch8,T. OVER
 13-04-18,00:11:17,Ch6,T. OVER 13-04-18,00:11:17,Ch8,T. OVER
 13-04-18,00:12:17,Ch6,T. OVER 13-04-18,00:12:17,Ch8,T. OVER
 13-04-18,00:13:17,Ch6,T. OVER 13-04-18,00:13:17,Ch8,T. OVER
 13-04-18,00:14:18,Ch6,T. OVER 13-04-18,00:14:18,Ch8,T. OVER
 13-04-18,00:15:18,Ch6,T. OVER 13-04-18,00:15:18,Ch8,T. OVER
 13-04-18,00:16:18,Ch6,T. OVER 13-04-18,00:16:18,Ch8,T. OVER
 13-04-18,00:17:18,Ch6,T. OVER 13-04-18,00:17:18,Ch8,T. OVER
 13-04-18,00:18:18,Ch6,T. OVER 13-04-18,00:18:18,Ch8,T. OVER
 13-04-18,00:19:18,Ch6,T. OVER 13-04-18,00:19:18,Ch8,T. OVER
 13-04-18,00:20:19,Ch6,T. OVER 13-04-18,00:20:19,Ch8,T. OVER
 13-04-18,00:21:19,Ch6,T. OVER 13-04-18,00:21:19,Ch8,T. OVER
 13-04-18,00:22:19,Ch6,T. OVER 13-04-18,00:22:19,Ch8,T. OVER
