Temperature	Resistance
[K]			[Ohms]
 
3.39932000e-01 2.44020010e+02
3.59988000e-01 2.20355857e+02
3.79679000e-01 2.00074567e+02
4.04364000e-01 1.83735171e+02
4.22256000e-01 1.69549981e+02
4.41998000e-01 1.57623938e+02
4.61525000e-01 1.47931295e+02
4.81929000e-01 1.38283290e+02
5.03785000e-01 1.28651062e+02
5.34062000e-01 1.19474749e+02
5.67035000e-01 1.10853063e+02
5.95381000e-01 1.03017662e+02
6.27083000e-01 9.63149881e+01
6.58282000e-01 9.02144357e+01
6.95274000e-01 8.45680110e+01
7.33180000e-01 7.97292914e+01
7.64325000e-01 7.53908514e+01
7.98295000e-01 7.15142786e+01
8.41829000e-01 6.75919514e+01
8.82778000e-01 6.41149352e+01
9.26806000e-01 6.11133919e+01
9.60863000e-01 5.86837110e+01
9.94273000e-01 5.65328267e+01
1.03497000e+00 5.44162138e+01
1.09509000e+00 5.13527795e+01
1.14359000e+00 4.88233795e+01
1.18303000e+00 4.64926552e+01
1.18303000e+00 4.43313981e+01
1.33202000e+00 4.17663852e+01
1.43101000e+00 3.96252152e+01
1.58738000e+00 3.65002790e+01
1.58738000e+00 3.42617519e+01
1.78642000e+00 3.21057543e+01
1.95407000e+00 3.00519067e+01
2.07736000e+00 2.80298743e+01
2.14068000e+00 2.72247514e+01
2.14068000e+00 2.65418133e+01
2.14068000e+00 2.66946752e+01
2.14068000e+00 2.67864600e+01
2.14068000e+00 2.67864600e+01
2.14068000e+00 2.67864600e+01
2.14068000e+00 2.67864600e+01
2.14068000e+00 2.67864600e+01
2.14068000e+00 2.67864600e+01
2.14068000e+00 2.67864600e+01
2.14068000e+00 2.67864600e+01
2.14068000e+00 2.75528819e+01
2.14068000e+00 2.64032490e+01
2.14068000e+00 2.41039833e+01
7.14412000e+00 2.14215067e+01
7.14412000e+00 1.91222410e+01
7.14412000e+00 1.79726081e+01
7.14412000e+00 1.87390300e+01
7.14412000e+00 1.87390300e+01
7.14412000e+00 1.87685338e+01
7.14412000e+00 1.87242781e+01
7.14412000e+00 1.86357667e+01
8.35084000e+00 1.85325033e+01
8.35084000e+00 1.84580195e+01
8.35084000e+00 1.83927224e+01
8.35084000e+00 1.83801433e+01
1.03195000e+01 1.83310467e+01
1.03195000e+01 1.83060867e+01
1.03195000e+01 1.82593610e+01
1.03195000e+01 1.82220200e+01
1.13898000e+01 1.81857262e+01
1.13898000e+01 1.80989033e+01
1.13898000e+01 1.80284219e+01
1.33541000e+01 1.79236510e+01
1.33541000e+01 1.78106062e+01
1.41429000e+01 1.76817210e+01
1.41429000e+01 1.74400443e+01
1.49709000e+01 1.71549571e+01
1.63430000e+01 1.68668886e+01
1.63430000e+01 1.65282900e+01
1.69809000e+01 1.62289838e+01
1.81233000e+01 1.59298686e+01
1.85790000e+01 1.55879495e+01
1.90663000e+01 1.52336752e+01
1.98632000e+01 1.48130138e+01
2.10544000e+01 1.43306714e+01
2.20641000e+01 1.36914890e+01
2.29093000e+01 1.29789486e+01
2.47483000e+01 1.23028010e+01
2.60165000e+01 1.15630970e+01
2.73377000e+01 1.08663746e+01
2.90182000e+01 1.02294033e+01
3.01478000e+01 9.56602738e+00
3.17188000e+01 8.96041210e+00
3.31848000e+01 8.40663148e+00
3.48495000e+01 7.85541990e+00
3.64161000e+01 7.36169752e+00
3.81295000e+01 6.89237190e+00
4.01125000e+01 6.45420829e+00
4.19679000e+01 6.06544848e+00
4.37478000e+01 5.71542562e+00
4.54765000e+01 5.40284062e+00
4.72586000e+01 5.11595348e+00
4.89681000e+01 4.84307124e+00
5.10917000e+01 4.59081390e+00
5.28088000e+01 4.35735633e+00
5.51610000e+01 4.14540229e+00
5.67588000e+01 3.95557381e+00
5.87858000e+01 3.77707271e+00
6.11110000e+01 3.61472562e+00
6.29912000e+01 3.46461114e+00
6.50000000e+01 3.34267471e+00
6.70957000e+01 3.22092657e+00
6.91446000e+01 3.10461452e+00
7.15821000e+01 2.99358910e+00
7.38538000e+01 2.88396738e+00
7.66476000e+01 2.78246400e+00
7.89757000e+01 2.69495943e+00
8.17520000e+01 2.61261276e+00
8.39553000e+01 2.54400719e+00
8.64982000e+01 2.48569776e+00
8.89283000e+01 2.43441071e+00
9.15360000e+01 2.38740624e+00
9.39710000e+01 2.35053607e+00
9.63089000e+01 2.32122236e+00
9.71452000e+01 2.29946510e+00
