# X109928 calibration file, created 2018-04-03 13:28:04.774897
# Temperature	Resistance
# 		[K]				[Ohms]
# 
4.89681000e+01 8.45900038e+01
5.10917000e+01 8.30348295e+01
5.28088000e+01 8.15275690e+01
5.51610000e+01 8.00815629e+01
5.67588000e+01 7.86981962e+01
5.87858000e+01 7.73275681e+01
6.11110000e+01 7.59854138e+01
6.29912000e+01 7.46648019e+01
6.50000000e+01 7.35031329e+01
6.70957000e+01 7.22947348e+01
6.91446000e+01 7.10573524e+01
7.15821000e+01 6.97846024e+01
7.38538000e+01 6.84493195e+01
7.66476000e+01 6.71153738e+01
7.89757000e+01 6.58296714e+01
8.17520000e+01 6.45283390e+01
8.39553000e+01 6.33245062e+01
8.64982000e+01 6.21830162e+01
8.89283000e+01 6.10875514e+01
9.15360000e+01 5.99553019e+01
9.39710000e+01 5.90273514e+01
9.63089000e+01 5.82034657e+01
9.71452000e+01 5.74836448e+01
