# Still Stage
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523588256000000000e+09 2.659549999999999841e+02
1.523588316000000000e+09 2.655079999999999814e+02
1.523588376000000000e+09 2.652850000000000250e+02
1.523588436000000000e+09 2.650199999999999818e+02
1.523588496000000000e+09 2.645790000000000077e+02
1.523588556000000000e+09 2.642909999999999968e+02
1.523588616000000000e+09 2.638530000000000086e+02
1.523588677000000000e+09 2.636220000000000141e+02
1.523588737000000000e+09 2.631739999999999782e+02
1.523588797000000000e+09 2.629259999999999877e+02
1.523588857000000000e+09 2.626859999999999786e+02
1.523588917000000000e+09 2.622339999999999804e+02
1.523588978000000000e+09 2.619870000000000232e+02
1.523589038000000000e+09 2.615179999999999723e+02
1.523589098000000000e+09 2.613100000000000023e+02
1.523589158000000000e+09 2.608159999999999741e+02
1.523589219000000000e+09 2.605860000000000127e+02
1.523589279000000000e+09 2.603609999999999900e+02
1.523589339000000000e+09 2.599030000000000200e+02
1.523589399000000000e+09 2.596370000000000005e+02
1.523589459000000000e+09 2.591700000000000159e+02
1.523589519000000000e+09 2.588949999999999818e+02
1.523589580000000000e+09 2.584630000000000223e+02
1.523589640000000000e+09 2.581809999999999832e+02
1.523589700000000000e+09 2.577730000000000246e+02
1.523589760000000000e+09 2.575330000000000155e+02
1.523589820000000000e+09 2.573000000000000114e+02
1.523589880000000000e+09 2.568330000000000268e+02
1.523589940000000000e+09 2.565889999999999986e+02
1.523590000000000000e+09 2.561329999999999814e+02
1.523590061000000000e+09 2.558979999999999961e+02
1.523590121000000000e+09 2.554230000000000018e+02
1.523590181000000000e+09 2.551970000000000027e+02
1.523590241000000000e+09 2.549250000000000114e+02
1.523590301000000000e+09 2.544670000000000130e+02
1.523590361000000000e+09 2.542479999999999905e+02
1.523590421000000000e+09 2.537769999999999868e+02
1.523590482000000000e+09 2.535240000000000009e+02
1.523590542000000000e+09 2.530550000000000068e+02
1.523590602000000000e+09 2.528369999999999891e+02
1.523590662000000000e+09 2.525970000000000084e+02
1.523590723000000000e+09 2.521630000000000109e+02
1.523590783000000000e+09 2.519290000000000020e+02
1.523590843000000000e+09 2.514439999999999884e+02
1.523590903000000000e+09 2.511939999999999884e+02
1.523590963000000000e+09 2.507309999999999945e+02
1.523591023000000000e+09 2.505039999999999907e+02
1.523591083000000000e+09 2.502580000000000098e+02
1.523591143000000000e+09 2.498220000000000027e+02
1.523591204000000000e+09 2.495869999999999891e+02
1.523591264000000000e+09 2.490879999999999939e+02
1.523591324000000000e+09 2.489000000000000057e+02
1.523591384000000000e+09 2.483899999999999864e+02
1.523591444000000000e+09 2.481339999999999861e+02
1.523591504000000000e+09 2.479149999999999920e+02
1.523591564000000000e+09 2.474300000000000068e+02
1.523591624000000000e+09 2.471990000000000123e+02
1.523591685000000000e+09 2.467589999999999861e+02
1.523591745000000000e+09 2.465089999999999861e+02
1.523591805000000000e+09 2.460579999999999927e+02
1.523591865000000000e+09 2.458269999999999982e+02
1.523591925000000000e+09 2.455800000000000125e+02
