# 4K Stage
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523581517000000000e+09 2.863349999999999795e+02
1.523581577000000000e+09 2.859110000000000014e+02
1.523581638000000000e+09 2.850600000000000023e+02
1.523581698000000000e+09 2.846399999999999864e+02
1.523581758000000000e+09 2.837869999999999777e+02
1.523581818000000000e+09 2.833609999999999900e+02
1.523581878000000000e+09 2.824929999999999950e+02
1.523581938000000000e+09 2.820470000000000255e+02
1.523581999000000000e+09 2.816100000000000136e+02
1.523582059000000000e+09 2.807300000000000182e+02
1.523582119000000000e+09 2.802660000000000196e+02
1.523582179000000000e+09 2.793489999999999895e+02
1.523582239000000000e+09 2.788949999999999818e+02
1.523582300000000000e+09 2.779649999999999750e+02
1.523582360000000000e+09 2.775049999999999955e+02
1.523582420000000000e+09 2.770459999999999923e+02
1.523582480000000000e+09 2.761150000000000091e+02
1.523582540000000000e+09 2.756429999999999723e+02
1.523582600000000000e+09 2.747019999999999982e+02
1.523582661000000000e+09 2.742420000000000186e+02
1.523582721000000000e+09 2.733059999999999832e+02
1.523582781000000000e+09 2.728419999999999845e+02
1.523582841000000000e+09 2.723740000000000236e+02
1.523582901000000000e+09 2.714580000000000268e+02
1.523582961000000000e+09 2.709809999999999945e+02
1.523583021000000000e+09 2.700509999999999877e+02
1.523583082000000000e+09 2.695810000000000173e+02
1.523583142000000000e+09 2.685919999999999845e+02
1.523583202000000000e+09 2.681109999999999900e+02
1.523583262000000000e+09 2.671259999999999764e+02
1.523583322000000000e+09 2.666259999999999764e+02
1.523583383000000000e+09 2.661429999999999723e+02
1.523583443000000000e+09 2.651349999999999909e+02
1.523583503000000000e+09 2.646560000000000059e+02
1.523583563000000000e+09 2.636680000000000064e+02
1.523583623000000000e+09 2.631859999999999786e+02
1.523583683000000000e+09 2.622350000000000136e+02
1.523583744000000000e+09 2.617640000000000100e+02
1.523583804000000000e+09 2.612789999999999964e+02
1.523583864000000000e+09 2.603299999999999841e+02
1.523583924000000000e+09 2.598620000000000232e+02
1.523583984000000000e+09 2.588999999999999773e+02
1.523584044000000000e+09 2.584279999999999973e+02
1.523584104000000000e+09 2.574990000000000236e+02
1.523584165000000000e+09 2.570470000000000255e+02
1.523584225000000000e+09 2.565729999999999791e+02
1.523584285000000000e+09 2.556659999999999968e+02
1.523584345000000000e+09 2.551990000000000123e+02
1.523584406000000000e+09 2.542909999999999968e+02
1.523584466000000000e+09 2.538309999999999889e+02
1.523584526000000000e+09 2.529199999999999875e+02
1.523584587000000000e+09 2.524830000000000041e+02
1.523584647000000000e+09 2.520380000000000109e+02
1.523584707000000000e+09 2.511560000000000059e+02
1.523584767000000000e+09 2.507150000000000034e+02
1.523584827000000000e+09 2.498240000000000123e+02
1.523584888000000000e+09 2.493919999999999959e+02
1.523584948000000000e+09 2.485130000000000052e+02
1.523585008000000000e+09 2.480809999999999889e+02
1.523585068000000000e+09 2.476479999999999961e+02
1.523585128000000000e+09 2.467889999999999873e+02
1.523585188000000000e+09 2.463779999999999859e+02
1.523585248000000000e+09 2.455250000000000057e+02
1.523585309000000000e+09 2.451100000000000136e+02
1.523585369000000000e+09 2.442599999999999909e+02
1.523585429000000000e+09 2.438429999999999893e+02
1.523585489000000000e+09 2.430039999999999907e+02
1.523585549000000000e+09 2.425910000000000082e+02
1.523585609000000000e+09 2.421610000000000014e+02
1.523585670000000000e+09 2.413389999999999986e+02
1.523585730000000000e+09 2.409379999999999882e+02
1.523585790000000000e+09 2.401380000000000052e+02
1.523585850000000000e+09 2.397319999999999993e+02
1.523585910000000000e+09 2.389230000000000018e+02
1.523585971000000000e+09 2.385209999999999866e+02
1.523586031000000000e+09 2.381160000000000139e+02
1.523586091000000000e+09 2.373220000000000027e+02
1.523586151000000000e+09 2.369170000000000016e+02
1.523586211000000000e+09 2.361339999999999861e+02
1.523586271000000000e+09 2.357450000000000045e+02
1.523586331000000000e+09 2.349679999999999893e+02
1.523586391000000000e+09 2.345809999999999889e+02
1.523586452000000000e+09 2.341920000000000073e+02
1.523586512000000000e+09 2.334290000000000020e+02
1.523586572000000000e+09 2.330349999999999966e+02
1.523586632000000000e+09 2.322820000000000107e+02
1.523586692000000000e+09 2.318930000000000007e+02
1.523586752000000000e+09 2.311289999999999907e+02
1.523586813000000000e+09 2.307500000000000000e+02
1.523586873000000000e+09 2.303849999999999909e+02
1.523586933000000000e+09 2.296519999999999868e+02
1.523586993000000000e+09 2.292829999999999870e+02
1.523587053000000000e+09 2.285480000000000018e+02
1.523587113000000000e+09 2.281680000000000064e+02
1.523587173000000000e+09 2.274480000000000075e+02
1.523587234000000000e+09 2.270749999999999886e+02
1.523587294000000000e+09 2.267110000000000127e+02
1.523587354000000000e+09 2.259879999999999995e+02
1.523587414000000000e+09 2.256150000000000091e+02
